country,cn_code,description,product_group,year,default_direct_tco2e_per_ton,default_indirect_tco2e_per_ton,default_total_tco2e_per_ton,adopted_default_total_tco2e_per_ton,underlying_cbam_benchmark_route,has_country_value
Türkiye,76041010,Bars and rods,Aluminium,2028,3.7414,,3.7414,4.86382,K,true
Türkiye,76041090,Profiles,Aluminium,2026,3.7414,,3.7414,4.11554,K,true
Türkiye,76041090,Profiles,Aluminium,2027,3.7414,,3.7414,4.48968,K,true
Türkiye,76041090,Profiles,Aluminium,2028,3.7414,,3.7414,4.86382,K,true
Türkiye,76042100,Hollow profiles,Aluminium,2026,3.7414,,3.7414,4.11554,K,true
Türkiye,76042100,Hollow profiles,Aluminium,2027,3.7414,,3.7414,4.48968,K,true
Türkiye,76042100,Hollow profiles,Aluminium,2028,3.7414,,3.7414,4.86382,K,true
Türkiye,76042910,Bars and rods,Aluminium,2026,3.7414,,3.7414,4.11554,K,true
Türkiye,76042910,Bars and rods,Aluminium,2027,3.7414,,3.7414,4.48968,K,true
Türkiye,76042910,Bars and rods,Aluminium,2028,3.7414,,3.7414,4.86382,K,true
Türkiye,76042990,Profiles,Aluminium,2026,3.7414,,3.7414,4.11554,K,true
Türkiye,76042990,Profiles,Aluminium,2027,3.7414,,3.7414,4.48968,K,true
Türkiye,76042990,Profiles,Aluminium,2028,3.7414,,3.7414,4.86382,K,true
Türkiye,7605,Aluminium wire,Aluminium,2026,3.4238,,3.4238,3.76618,K,true
Türkiye,7605,Aluminium wire,Aluminium,2027,3.4238,,3.4238,4.10856,K,true
Türkiye,7605,Aluminium wire,Aluminium,2028,3.4238,,3.4238,4.45094,K,true
Türkiye,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",Aluminium,2026,2.714,,2.714,2.9854,K,true
Türkiye,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",Aluminium,2027,2.714,,2.714,3.2568,K,true
Türkiye,7606,"Aluminium plates, sheets and strip, of a thickness exceeding 0,2 mm",Aluminium,2028,2.714,,2.714,3.5282,K,true
Türkiye,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm",Aluminium,2026,3.071,,3.071,3.3781,K,true
Türkiye,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm",Aluminium,2027,3.071,,3.071,3.6852,K,true
Türkiye,7607,"Aluminium foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0,2 mm",Aluminium,2028,3.071,,3.071,3.9923,K,true
Türkiye,7608,Aluminium tubes and pipes,Aluminium,2026,2.7536,,2.7536,3.02896,K,true
Türkiye,7608,Aluminium tubes and pipes,Aluminium,2027,2.7536,,2.7536,3.30432,K,true
Türkiye,7608,Aluminium tubes and pipes,Aluminium,2028,2.7536,,2.7536,3.57968,K,true
Türkiye,76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",Aluminium,2026,3.775258824,,3.775258824,4.1527847064,K,true
Türkiye,76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",Aluminium,2027,3.775258824,,3.775258824,4.5303105888,K,true
Türkiye,76090000,"Aluminium tube or pipe fittings (for example, couplings, elbows, sleeves)",Aluminium,2028,3.775258824,,3.775258824,4.9078364712,K,true
Türkiye,76101000,"Doors, windows and their frames and thresholds for doors",Aluminium,2026,2.674,,2.674,2.9414,K,true
Türkiye,76101000,"Doors, windows and their frames and thresholds for doors",Aluminium,2027,2.674,,2.674,3.2088,K,true
Türkiye,76101000,"Doors, windows and their frames and thresholds for doors",Aluminium,2028,2.674,,2.674,3.4762,K,true
Türkiye,761090,Other,Aluminium,2026,2.674,,2.674,2.9414,K,true
Türkiye,761090,Other,Aluminium,2027,2.674,,2.674,3.2088,K,true
Türkiye,761090,Other,Aluminium,2028,2.674,,2.674,3.4762,K,true
Türkiye,76109010,"Bridges and bridge-sections, towers and lattice masts",Aluminium,2026,2.674,,2.674,2.9414,K,true
Türkiye,76109010,"Bridges and bridge-sections, towers and lattice masts",Aluminium,2027,2.674,,2.674,3.2088,K,true
Türkiye,76109010,"Bridges and bridge-sections, towers and lattice masts",Aluminium,2028,2.674,,2.674,3.4762,K,true
Türkiye,76109090,Other,Aluminium,2026,2.674,,2.674,2.9414,K,true
Türkiye,76109090,Other,Aluminium,2027,2.674,,2.674,3.2088,K,true
