cn_code,description,product_group,default_direct_tco2e_per_ton,default_indirect_tco2e_per_ton,default_total_tco2e_per_ton
73181210,Of stainless steel,Iron and steel,2.10,1.99,4.10
73181410,Of stainless steel,Iron and steel,2.10,1.99,4.10
731815,"Other screws and bolts, whether or not with their nuts or washers",Iron and steel,1.89,0.32,2.21
731816,Nuts,Iron and steel,1.89,0.32,2.21
73182200,Other washers,Iron and steel,1.89,0.32,2.21
73182300,Rivets Other articles of iron or steel,Iron and steel,1.89,,2.21
7326,Rivets Other articles of iron or steel,Iron and steel,1.89,,2.21
73261100,Grinding balls and similar articles for mills Other Open-die forged,Iron and steel,2.65,0.62,3.27
73261973,Grinding balls and similar articles for mills Other Open-die forged,Iron and steel,2.65,0.62,3.27
73269094,Closed-die forged Sintered Articles of iron or steel wire,Iron and steel,1.95,0.51,2.46
73269096,Closed-die forged Sintered Articles of iron or steel wire,Iron and steel,1.95,0.51,2.46
73262000,Closed-die forged Sintered Articles of iron or steel wire,Iron and steel,1.95,0.51,2.46
73269030,"Ladders and steps Pallets and similar platforms for handling goods Reels for cables, piping and the like",Iron and steel,1.89,0.32,2.21
73269040,"Ladders and steps Pallets and similar platforms for handling goods Reels for cables, piping and the like",Iron and steel,1.89,0.32,2.21
73269050,"Ladders and steps Pallets and similar platforms for handling goods Reels for cables, piping and the like",Iron and steel,1.89,0.32,2.21
73269060,"Non-mechanical ventilators, guttering, hooks and like articles used in the building industry Other articles of iron or steel",Iron and steel,1.97,0.39,2.35
73269098,"Non-mechanical ventilators, guttering, hooks and like articles used in the building industry Other articles of iron or steel",Iron and steel,1.97,0.39,2.35
25070080,Other kaolinic clays 7,Calcined clay,0.23,0.08,0.32
25231000,Cement clinkers 8,Cement clinker,0.83,0.04,0.87
25232100,"White Portland cement, whether or not artificially coloured",Cement,1.16,0.10,1.26
25232900,Other Portland cement 9,Cement,0.81,0.06,0.87
25239000,Other hydraulic cements 10,Cement,0.59,0.04,0.63
